"候选写法","提及评论数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","语义判定依据","最高点赞数","召回方式","召回级别","证据BV号","证据评论ID","证据摘录","处理建议"
"靖江那边的汤包更","1","1","无锡市","江阴市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","219872416352","如果是吃惯了无锡偏甜口的小笼包，陶兴宝的小笼偏咸鲜口，拖炉饼区别于东边乡镇扁薄大一点的款型，其实这样小小只挺好，方便吃。馄饨那些正常水准，蟹粉大汤包个人觉得可以避雷，过个长江大桥，靖江那边的汤包更好吃，性价比也更好。","优先平台检索"
"靖江也","1","1","无锡市","江阴市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","217043944544","靖江也好吃哦 小猪空了去吃一下噶","优先平台检索"
"就苍蝇馆才","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245832685472","就苍蝇馆才好吃","优先平台检索"
"就感觉很多菜甜一点确实更","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","308820618864","习惯就好，我在南京读大学，就感觉很多菜甜一点确实更好吃，最喜欢的是食堂里的金针菇肉丝盖浇饭，加了淀粉的汤汁，盐很少，那种鲜甜的感觉真的很神奇，后面自己研究基本能还原出来；在武汉工作2年，食堂大厨啥菜都放花椒，还挺惊艳的，以前吃到花椒就麻到怀…","优先平台检索"
"就更","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","213938696240","我自动翻译成加点💩就更好吃了[辣眼睛]","优先平台检索"
"就很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","199202288000","啊啊啊甜口爱好者超爱江浙沪！之前去玩完全不觉得甜，就很好吃！[惊喜]","优先平台检索"
"就金霸王猪蹄最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","121","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134123620512","我在无锡几年了，无锡物价不低的，而且整体工资不高。我年收14左右，已经算无锡收入比较高的了。我住南禅寺附近，老小区小户型30坪左右1200每月。盛世源无锡连锁店，虾子面一半馄饨一半面11元，纯开洋馄饨13元，开洋就是大点的虾米。无锡小笼包就…","优先平台检索"
"就觉得天下咋有这么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","13","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286065405953","最爱吃小笼包。。。而且必须是无锡小笼包。。我从小时候第一次吃小笼包时候，就觉得天下咋有这么好吃的东西！特别享受那种吃完甜蜜肉汁以后擦干嘴，然后嘴皮子上还隐隐约约有点扒嘴的感觉。。（狂吃甜口肉菜的人才能懂。。。 看up视频馋的不行，明天必须吃…","优先平台检索"
"就连吃烧烤吃的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134730639648","美食荒漠。。待了十年。就真的没有很好吃的东西，可能个人不喜欢甜口吧，都是各种连锁店，就连吃烧烤吃的好吃的还是在山东…","优先平台检索"
"就能","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","198615001792","我重庆的，我是觉得大多数菜，直接放辣椒炒，就能好吃，如果不行，那就各种辣椒来一遍。甜椒、小米椒、干辣椒、酸辣椒、青椒。至于提鲜这说法，我还是比较看标准答案的，一般不都说酒去腥，鸡精提鲜吗、还有别的什么玩意也能提鲜来着忘了。但是没听说过糖和辣…","优先平台检索"
"就算厨师做的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","16","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245838733472","其实很多菜就是这样，就算厨师做的好吃也没有到好吃的夸张地步，更多夸的是厨师对这个食材的处理。","优先平台检索"
"就算再","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132608517520","该说不说，在无锡挂包子铺的牌子，就算再好吃，也不能算无锡本地美食吧？","优先平台检索"
"就我个人觉得粤川湘都","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134009385456","回复：别！中国除了淮扬菜还有很多美食的，就我个人觉得粤川湘都很不错","优先平台检索"
"就像最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257336546448","无锡人眼里的无锡馄饨小龙馒头，第一永远在熙盛源笑来喜中产生。后面就看每个人心里的习惯，就像最好吃的面永远是家附近的一样。古香楼勤德兴超王记福乐馄饨锡笼记等都只能算二线[doge_金箍]","优先平台检索"
"就一次","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","4","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","272932090337","他家味道得碰运气，因为便宜去过三次，每次味道都不一样，就一次好吃，其他不是肉烂的不得了像隔夜复蒸的，就是咸的油耗味","优先平台检索"
"就真的没有很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134730639648","美食荒漠。。待了十年。就真的没有很好吃的东西，可能个人不喜欢甜口吧，都是各种连锁店，就连吃烧烤吃的好吃的还是在山东…","优先平台检索"
"居然偏","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1n7QGYrERC","258591124320","恨不得每道菜都放糖的地方，居然偏好吃咸豆腐脑","优先平台检索"
"菊叶汤包","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195639287776","回复：大部分汤包还是以咸为主甜味为辅，下次可以试试菊叶汤包，很清新，多吃点也不会觉得很油腻[doge]","优先平台检索"
"巨巨巨","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245787231057","老唐老唐，来我们江大旁边的一家饭店，叫文明饭店，巨巨巨好吃，尤其是他家那个剁椒鱼头，十分滴下饭，而且还不贵，现在都开二店了，每次饭点去他家基本都没座[微笑][微笑][微笑]","优先平台检索"
"聚丰园","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","词典命中","A-词典命中","BV15KSbYKEZS","245629044497","点菜的话可以去聚丰园或者三凤桥，穆桂英也行","进入实体精筛表"
"聚丰园或者三凤桥","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245629044497","点菜的话可以去聚丰园或者三凤桥，穆桂英也行","优先平台检索"
"觉得","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245845316352","这么说，大多数其他地方的人（包括我这里的）吃无锡菜，一天只能吃一次，不管觉不觉得好吃。觉得好吃基本也会腻一段时间","优先平台检索"
"觉得都好","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","201425149296","我我我也是姐妹！！！我今天中午刚到无锡，吃了一下午没停，觉得都好好吃啊，超爱玉兰饼梅花糕！！！后面几天我也准备每天都吃，根本不会腻啊喂[星星眼]","优先平台检索"
"觉得那是天下最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197683545440","小时候第一次吃无锡骨，觉得那是天下最好吃的排骨！","优先平台检索"
"觉得四川的和陕西的面条","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1KbygBJELh","286202956592","视频里这款面我确实没吃过，不敢做评价，但是发甜的东西我是不敢想象那味道，还是觉得四川的和陕西的面条好吃","优先平台检索"
"觉得网上买的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196854878272","回复：[tv_白眼]我去吃了，还是觉得网上买的好吃","优先平台检索"
"觉得无锡是全国最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195553836576","老家无锡的，但没在无锡生活过，回去几次都是呆几天看了看就走了。鸡汤荠菜馄饨，小笼包，三凤桥的无锡排骨(店里现做的)，太湖三白，蟹黄羹，面筋肉都巨巨好吃。可能是血脉觉醒了?我一个特爱吃的人，觉得无锡是全国最好吃的地方了。","优先平台检索"
"绝对","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245700681888","老唐终于来无锡了[doge_金箍]推荐一个老饭馆，绿阳饭店，在南方泉兴隆路，绝对好吃实惠","优先平台检索"
"绝对比南翔的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","7","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","288109407296","吃的了甜，绝对比南翔的好吃，很多上海人都跑无锡吃小笼馒头的","优先平台检索"
"覺得都","1","1","无锡市","江阴市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","277485989809","香港人吃江浙滬菜如魚得水，就跟吃廣東菜一模一樣，覺得都好吃。","优先平台检索"
"君溢面馆超级","1","1","","","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1KbygBJELh","281079868737","同新吴区，君溢面馆超级好吃","优先平台检索"
"开洋拌馄饨可","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286137807713","开洋拌馄饨可好吃了，觉得甜的话可以少糖","优先平台检索"
"开洋红汤辣","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256316074369","一个人吃的话，两只小笼+一碗馄饨，感觉刚刚好，馄饨可以试试开洋红汤辣，比较特色，蟹粉的不常吃","优先平台检索"
"开洋馄饨我也觉得","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","258335236000","熙盛源小笼包甜度稍微低一点，开洋馄饨我也觉得好吃一点。小笼包几个记都差不多。","优先平台检索"
"看德平路的方师傅小笼","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257200977264","老高如果来上海试试看德平路的方师傅小笼 还有富春/富麦小笼 这两家是我吃过上海和无锡苏州杭州十多家感觉最好吃的[星星眼]","优先平台检索"
"看很","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195727636640","回复：扬州泰州的青菜也是放糖的，但是生菜啥的不放糖。我觉得青菜就应该加糖啊，你可以试试看很好吃的","优先平台检索"
"看看别人的评论","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134675306992","回复：这一会就成自雷了[吃瓜]红汤咸甜口正常也是你说的，现在就变成白汤了[吃瓜]上面我回复谁的还有个链接，里面可以去看看别人的评论","优先平台检索"
"看看论文","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","74","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195585748304","为什么评论区这么多人觉得糖尿病和吃甜食没关系的？没关系的可以去看看论文 看下人类摄入和糖尿病的关系，别杠喜欢吃糖天天吃就行了。自己的身体自己做主[奈姬niki_微笑]","优先平台检索"
"看来小笼包真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195624965232","看来小笼包真的很好吃[doge]","优先平台检索"
"看起来","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1WrK56AEKj","309602237280","这家看起来很不错啊，美式烤肉就喜欢吃这种烤的软烂的，好嚼就是好肉","优先平台检索"
"看起来比穆桂英的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","133510571344","下次一定要去吃毛华的酸辣汤和玉兰饼，看起来比穆桂英的好吃，感觉糊涂生煎的酸辣汤也不好吃，胡椒粉太多，料也少","优先平台检索"
"看起来都好","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","133251257136","哇 看起来都好好吃，我也超爱吃甜的[惊喜]","优先平台检索"
"看起来就","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","294318591713","这大樱桃，梗也好粗，看起来就好吃[明日方舟野趣拾光表情包_爱你哟]","优先平台检索"
"看起来似乎一样很","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130307569440","作为无锡人还没吃过海棠饼呢，但很喜欢吃梅花糕……改天想去尝试一下，看起来似乎一样很好吃。","优先平台检索"
"看起来挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195598514864","回复：俺还挺想试试那个玉兰饼的，看起来挺好吃(●°u°●) 」","优先平台检索"
"看上去就好","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1axj26fED7","303657113585","看上去就好好吃[大哭][大哭][大哭]","优先平台检索"
"看着还","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","80","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","273983096368","这家店是真便宜吧，卖家也不少，看着还好吃","优先平台检索"
"看着好多汁好","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196694889312","好想吃吃看小笼包，看着好多汁好好吃，我喜欢蘸很多醋吃所以原味是甜是咸不重要","优先平台检索"
"看着就觉得","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1QT421C7iV","288324143920","这个玉兰饼我真的好奇味道，看着就觉得好吃","优先平台检索"
"考起来好像还真没猪排","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1WrK56AEKj","306895679905","我感觉这玩意儿贵的还真不一定有便宜的好吃，我感觉牛肋排牛胸，考起来好像还真没猪排好吃，牛太噎人了","优先平台检索"
"烤牛肉蘸着挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195544778304","回复：我记得东北烧烤也有酸甜酱，其实烤牛肉蘸着挺好吃的[doge]","优先平台检索"
"烤肉烤豆干刷点蜜糖很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195623111856","回复：烧烤甜很正常啊，烤肉烤豆干刷点蜜糖很好吃","优先平台检索"
"可是八宝饭真的超","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195764573920","可是八宝饭真的超好吃[跪了]","优先平台检索"
"可是花生拌糖真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195637747328","不是无锡人，可是花生拌糖真的很好吃[保卫萝卜_哭哭]","优先平台检索"
"可是那个豆腐干真嘟很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195536688304","可是那个豆腐干真嘟很好吃","优先平台检索"
"可是甜的真的很","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","308778175328","[星星眼]可是甜的真的很好吃啊","优先平台检索"
"可是我吃的八宝饭尊滴很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196677847248","可是我吃的八宝饭尊滴很好吃甜的刚刚好哎!甜而不齁，全吃完也不会觉得腻!","优先平台检索"
"可是我觉得特别","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","199471078816","我无锡人，说实话，对甜的接受程度比其他人确实高，我有个室友是别的地方的，她认为我们食堂的番茄炒蛋太甜了，可是我觉得特别好吃，酸酸甜甜的还热乎🤤🤤🤤🤤🤤🤤","优先平台检索"
"可是无锡小笼包真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","38","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195784059264","可是无锡小笼包真的很好吃，个人口味很喜欢甜口的小笼包","优先平台检索"
"可是真的超级","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196951189408","可是真的超级好吃诶","优先平台检索"
"肯定","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","246232498737","肯定好吃，老唐都吃哭了。","优先平台检索"
"肯定没广东菜","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","216609166112","回复：无锡肯定没广东菜好吃啊","优先平台检索"
"控肉飯也是甜鹹比較","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","12","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195672941856","甜的菜品都蠻好吃的，台灣滷肉飯也是甜鹹口的才好吃，純鹹的很難吃，控肉飯也是甜鹹比較好吃，糖醋排骨當然也是甜鹹比較好吃，番茄炒蛋也是甜鹹比較好吃，滷麵筋麵腸之類的，也是甜鹹比較好吃","优先平台检索"
"辣椒油是真的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256505961345","那个辣椒油是真的好吃啊","优先平台检索"
"辣椒油真的巨香巨","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256683378801","回复：不是，就是馄饨加一点，小笼包不加，那个辣椒油真的巨香巨好吃（凤凰城那家就在我家旁边，一直去吃）","优先平台检索"
"辣有辣的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197923160672","我感觉主要是无锡的肉里放糖，很多人都没办法接受肉是甜的这种口味，但也没必要拉踩吧，辣有辣的好吃，鲜有鲜的好吃，甜也有甜的好吃呀。别只是因为一个地区的甜是特色就说人是美食荒漠[微笑]杂食党看别人贬低自己爱吃的菜真的很受伤😢","优先平台检索"
"来天台吃吃吧包","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305635229505","来天台吃吃吧包好吃","优先平台检索"
"蓝莓山药","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296935629312","回复： 汉八位的的牛羊肉很臭啊 很臭。只有红烧肉、蛋挞、蓝莓山药好吃","优先平台检索"
"老漕面","1","1","","","1","0","0","0","明确到店或菜品推荐","0","词典命中","A-词典命中","BV1Wj411n7PD","216174203664","无锡本地人推荐吃面吃无锡老漕面，喝酒要喝黄酒","进入实体精筛表"
"老城区很多才","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256369848273","你听他说呢，微甜，根本就没多甜，而且南禅寺并不正宗，上学的时候那会儿还没开呢，老城区很多才好吃，没多甜[吃瓜]","优先平台检索"
"老牛还","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","246538052848","老牛还好吃啊，那是真不咋地","优先平台检索"
"老牛窝里的筒肠是最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","203","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245748793200","看片头这不是老牛窝里吗？老牛窝里不可能说的这么差的，而且这点的也都是老牛窝里的招牌菜，虽然我老店有十年没去吃了，但新店我是一直去吃的，我不太相信新店和老店有多少区别都是一家师傅出来的，不然我不太相信这个视频的真实性，尤其是筒肠，老牛窝里的筒…","优先平台检索"
"老牛窝里刚开那会觉得挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","5","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245755106960","老牛窝里刚开那会觉得挺好吃的，后来食材给我的感觉一年不如一年，而且甜到我这个吃糖长大的无锡人都受不了了","优先平台检索"
"老牛窝里刚开始还挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245489062897","老牛窝里刚开始还挺好吃的，然后店越开越多以后就开始糊弄人了","优先平台检索"
"老牛窝里是我吃过的最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","门店后缀／推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245780644464","回复：老牛窝里是我吃过的最好吃的本帮菜馆，没有之一","优先平台检索"
"老牛窝里早就没有以前","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245728263328","老牛窝里早就没有以前好吃了","优先平台检索"
"老式口味","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195684539984","老式口味好吃，去王兴记吃的想吐，随便找一家小店都挺好吃，一碗馄饨两个小笼我的饭量刚刚好","优先平台检索"
"老唐吃过","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245675960736","江苏的店，老唐吃过好吃的吗","优先平台检索"
"老无锡菜非常","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1w1Q7YoEvz","257594772368","老无锡菜非常好吃","优先平台检索"
"老小区边上都不缺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","274144400704","那大概只是你不习惯这里口味或者吃的少，论种类，本帮菜和点心都不少，论口味，高端点的太湖边上的店，向阳路上的私房菜都有蛮多不错的，老小区边上都不缺好吃的，好吃的店@用户，哪家面店的浇头烧的好，面用的好，汤头熬的好，都要自己去发现，拿包子举例，…","优先平台检索"
"了麦片现在忘了牌子了","1","1","","","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1B84y1g7oT","159027548384","谁能帮帮我呀，上次在镜子的视频安利了麦片现在忘了牌子了 求解答[委屈]","优先平台检索"
"了无锡才知道泡面有多","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197757261584","说真的，全国基本吃遍了，最吃不下的就是无锡了，换了两个餐馆，最后吃了泡面，去了无锡才知道泡面有多好吃","优先平台检索"
"了无锡的小吃店","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134362695952","又被外地人安利了无锡的小吃店[笑哭]","优先平台检索"
"了蟹黄面","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","3","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245568472465","回复：新万鑫确实便宜好吃，一碗面带点配菜人均不四十吧，带过两批苏州和扬州的朋友去吃过，都说很不错[妙啊]前段时间还去吃了蟹黄面，一碗不够吃还让人加了碗面[大笑]","优先平台检索"
"了一次玉兰饼","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","133286742736","回复：哈哈哈，上次被推荐吃了一次玉兰饼，不知道是不正宗还是什么，差点给我甜的齁过去，然后就不敢再吃了[笑哭][笑哭]","优先平台检索"
"了一家面馆据说很正宗","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","2","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197654896096","对，本地人真的意识不到。我真的很好奇，我上大学一室友是无锡的，平时我们一起吃食堂也没觉得他口味偏甜。有一次我去他家玩，给我推荐了一家面馆据说很正宗，我吃完问他怎么这么甜，他问我说甜吗？","优先平台检索"
"了这两家","1","1","无锡市","江阴市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","217002729040","今天上午还在搜攻略想去江阴吃河豚！也被安利了这两家，下午小猪就发视频啦！[星星眼]","优先平台检索"
"离我们认知中的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","274032740320","回复：难吃的点就在于从我们本地人的角度来说，离我们认知中的好吃还有一段距离","优先平台检索"
"礼嘉坂上东街面馆","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","201896144496","可以去尝尝无锡老牛咸豆浆，来常州的话可以去试试礼嘉坂上东街面馆","优先平台检索"
"里面稻香菜场有很多","1","1","","","1","0","0","0","明确正向用餐体验","10","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130192600128","厉害了竟然会找到稻香路上的这家面店，这家店也开了很多年了，价格便宜味道不错就是环境不算好，要是来稻香只吃了这碗面就亏了，里面稻香菜场有很多好吃的，鸭血小馄饨，酒酿，小红糕点，卤汁豆腐干，祝琴小吃店里的馄饨砂锅米线等。","优先平台检索"
"里面的椰果块块特别","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197351286704","小时候真的特别爱吃那个甜汤，里面的椰果块块特别好吃，但是真的好久不吃了","优先平台检索"
"里面的油面筋很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132715989680","里面的油面筋很好吃[脱单doge]甜的","优先平台检索"
"里面笋","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1o9XdYZEFp","256937836608","肠节很多是有苦肠部分的，吃到一个这样的苦，里面笋好吃，汤很好。","优先平台检索"
"里面忆秦园小笼","1","1","","","1","0","0","0","明确正向用餐体验","3","门店后缀／推荐／店名句式","B-存在明确推荐","BV1Wj411n7PD","200962811936","呀，我大二去过这！里面忆秦园小笼好吃的嘞，里面商铺卖的豆腐脑居然是咸的，好吃，但是买的特产都好甜哈哈","优先平台检索"
"莲蓉桥那里的阿兴酸辣汤挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","198034181120","莲蓉桥那里的阿兴酸辣汤挺好吃的，炸混沌加酸辣汤，旁边还有干将楼吃个早面","优先平台检索"
